"","x"
"76","パワステアリングオイルポンプのカム（可動オイル圧縮シリンダ）内面の表面処理が不適切なため、作動による摩擦で摺動面温度が上昇して当該カムが変形し、表面に傷が生じることがある。そのため、そのままの状態で使用を続けると、かじを大きく切った場合にカムが破損して、油圧倍力機能が失われて、かじ取り操作ができなくなるおそれがある。パワステアリングオイルポンプの駆動軸のオイルシール（エンジンオイルとパワステアリングオイルを分離するためのもの）の取付部について、抜け出し防止用の溝加工が不適切なため、オイルシールが抜け出しているものがある。そのため、シール機能が働かず、エンジンオイルがパワステアリングオイルに混入してパワステアリングオイルタンクからオイルが漏れ、最悪の場合、排気管に飛散し火災に至るおそれがある。"
"77","方向指示器の操作スイッチ内部にある接点ブレード支持基板の位置が不適切なため、接点部が磨耗し腐食が生じることがある。そのため、当該スイッチを操作したとき腐食による接点の接触不良により方向指示器が作動しないおそれがある。"
"78","運転者席及び助手席のシート背もたれ部の角度を固定するヒンジの内部にあるスプロケットの幅の寸法及び軸方向のがたの公差が大きいため、スプロケットの歯面の噛み合いが不十分なものがある。そのため、当該自動車が後部の衝突による衝撃を受けた場合、当該噛み合いが外れ、当該背もたれ部が乗車人員等から受ける荷重に耐えることができなくなるおそれがある。"
"79","原動機制御コンピュータのプログラムが不適切なため、空燃比の補助制御をしているリヤ酸素センサが破損した場合であっても、警告灯が点灯しない。また、イグニッションコイルにおいて発生する点火ノイズの影響により、リヤ酸素センサの素子が破損する場合があり、その場合にも警告灯が点灯せず、そのまま使用を続けると、空燃比補助制御が正確に出来なくなり、排出ガスが基準を満足しないおそれがある。"
"80","４輪駆動車の後軸用動力伝達装置において、リヤアクスルシャフトの加工寸法が不適切なものがあるため、発進および旋回等の繰り返しにより当該ロックナットが緩むことがある。そのため、最悪の場合、当該ロックナットが外れ、車輪が脱落するおそれがある。"
"81","方向指示器において、バルブの橙色コーティング塗装材料が不適切なため、コーティング塗装寿命が不足している。そのため、そのままの状態で使用を続けると、橙色コーティング塗装が剥離し、灯光色が白色となるおそれがある。"
"82","後軸差動装置の振動を低減するために装着されているダイナミックダンパーにおいて、ウエイト支持ゴムおよびウエイトの脱落を防止するピンの強度が不足している。そのため、そのままの状態で使用を続けると、ウエイト支持ゴムが破損し、その後、ピンが折損して、最悪の場合、ウエイトが脱落して他の交通の安全を妨げるおそれがある。"
"83","方向指示器において、バルブの橙色コーティング塗装材料が不適切なため、コーティング塗装寿命が不足している。そのため、そのままの状態で使用を続けると、橙色コーティング塗装が剥離し、灯光色が白色となるおそれがある。"
"84","スペアタイヤキャリアブラケットを移設した際の取付け方法が不適切なため、走行中の振動により当該ブラケットに亀裂が生じるものがある。そのため、そのままの状態で使用を続けると、最悪の場合、当該ブラケットが折損してスペアタイヤとともに脱落し、他の交通の安全を妨げるおそれがある。"
"85","助手席エアバッグのインフレータ（膨張装置）において、誤った判定値により気密性検査を行ったため、気密性が不十分なものがある。そのため、エアバッグが作動した際、インフレータ内封入ガスの圧力不足により、エアバッグの展開が遅れ、最悪の場合、前面衝突時に乗員に過度の障害を与えるおそれがある。"
"86","オイルクーラー本体のリザーバとコアの接合部の加工が不適切なため、当該接合部からエンジンオイルが漏れるものがあり、最悪の場合、漏れたエンジンオイルが飛散してリヤタイヤに付着し、車両が転倒するおそれがある。"
"87","オートクルーズ・コントロール装置装着車において、オートクルーズ・コントロール・ケーブルの取り付け部に曲げ応力に対する耐久性が不十分なものがあり、そのままの状態で使用を続けると、当該取り付け部（ケーブルブラケットに固定する部分）に亀裂が生じて破損することがある。そのため、オートクルーズ・コントロール・ケーブルがケーブルブラケットに保持されなくなり、最悪の場合、オートクルーズ・コントロール・ケーブルがアクセルケーブルに引っ掛かり、オートクルーズ・コントロール・ケーブルのインナーワイヤーが引かれた状態となり、エンジン回転が下がらなくなるおそれがある。"
"88","かじ取り装置において、パワーステアリング用油圧ポンプ・プーリーの加工が不適切なため、プーリー取付ナットの締付力が低下するものがある。そのため、そのままの状態で使用を続けると、当該プーリー取付ナットが緩み、パワーステアリング用油圧ポンプからプーリーが外れ、充電警告灯が点灯し、ハンドルの操作力が増大するとともにウオーターポンプが作動しなくなり、オーバーヒートして走行不能となるおそれがある。"
"89","電気配線の取りまわしが不適切なため、フレームの肉抜き孔の角部に当該配線が接触し、被覆が損傷するものがある。そのため、そのままの状態で使用を続けると、当該配線が短絡しヒューズが切れて、原動機が停止し前照灯が不灯となるなど電気系統の一部が作動しなくなるおそれがある。"
"90","尾灯および制動灯の電球の端子の形状が不適切なため、当該電球がソケットに固定されていないものがある。そのため、走行中の振動等により当該電球が脱落して尾灯および制動灯が点灯しなくなるおそれがある。"
"91","燃料タンク取付金具の寸法精度並びに燃料タンクを取付金具にボルトで締結する部分の構造及び当該ボルトの締付けトルクが不適切なため、走行中の振動等により当該ボルト又は取付金具をフレームに固定するボルトに緩みが発生するものがある。そのため、そのまま使用を続けると、燃料タンクに亀裂が発生し、燃料漏れが発生するおそれがある、また取付金具に亀裂が発生し、最悪の場合、当該取付金具が破損し燃料タンクが脱落するおそれがある。"
"92","後輪ブレーキ行きエアホースの固定具(ゴムクリップ)の支持位置が不適切なため、駐車ブレーキ用エアホースと干渉するものがある。そのため、このままの状態で使用を続けると、走行時の振動等で当該ホース同士がこすれて摩耗し、最悪の場合、ホースに穴が開いてエアが洩れ、制動力が不足する、又は駐車ブレーキが解除できなくなるおそれがある。"
"93","流体式リターダ(補助制動装置)を装着した大型バスにおいて、プロペラシャフト接続部(エンドヨーク)の構造が不適切なため、エンドヨークに設けてある十字継手(スパイダ)のベアリング抜け出し防止用のストッパーが発進停止の繰り返しにより摩耗する、又はプロペラシャフト組立て時に損傷する場合がある。そのため、そのままの状態で使用を続けると、ベアリングにガタを生じてプロペラシャフトが過大に振動し、最悪の場合、ベアリング固定金具又は取付ボルトが折損して、プロペラシャフトが脱落するおそれがある。"
"94","ディーラーオプション部品として販売されたホイール・キャップにおいて、形状が不適切なため、ホイール・キャップが自動車の車体から突出している。そのため、ホイール・キャップに係わる保安基準を満足していない。"
"95","制動装置のブレーキブースタのハイドロリックピストン及び当該ピストンとプッシュロッドを結合するピンの抜け止めスプリングの形状が不適切なため、スプリングが外れて当該ピストンとシリンダ間に噛み込む場合がある。そのため、当該ピストンがストロークした位置に固着し、ブレーキが引きずり、最悪の場合、ブレーキが過熱して発火するおそれがある。"
"96","手動変速機付車において、クラッチ断続用油圧シリンダのピストン材質が不適切なため、クラッチ断続操作を繰り返し行うと、当該ピストンが磨耗し、受圧カップが損傷することがある。そのため、当該油圧シリンダより作動油が漏れ、クラッチ操作ができなくなるおそれがある。"
"97","樹脂製燃料タンクに取り付けたインシュレータと排気管との隙間が不足しているため、燃料タンクが膨張した際に、当該インシュレータと排気管が干渉するものがある。そのため、そのまま使用を続けると、当該インシュレータが高温となり、最悪の場合、燃料タンクが融けて穴があき、燃料が漏れて火災に至るおそれがある。フロント・コンビネーション・ランプの前面方向指示器において、ハウジングの端子取付け部の内径寸法が不適切なため、ハウジング側端子とバルブソケット側端子の接触圧力が不足したものがある。そのため、当該端子間が通電不良となり、方向指示器を作動させた際に前面方向指示器が点滅しなくなるとともに、方向指示表示灯の点滅が速くなるおそれがある。"
"98","シリンダヘッドのカムシャフトへのオイル供給穴の加工が不適切なため、未貫通のものがある。そのため、カムシャフトへオイルが供給されず、カムシャフトが焼付き、走行ができなくなるおそれがある。"
"99","シリンダヘッドのオートラッシュアジャスターへのオイル供給穴の加工が不適切なため、切粉が残留しオイル供給不足となるものがある。そのため異常なバルブ打音が発生し、最悪の場合、カムシャフトが焼付き、走行ができなくなるおそれがある。"
"100","燃料フィルターに取付けられた低圧燃圧レギュレーターに防水キャップが未装着のものがあり、水が浸入することがある。そのため、レギュレーター内部に錆が発生し、最悪の場合、燃料が漏れるおそれがある。"
"101","燃料ホースと燃料パイプを接続する作業の確認指示が不備なため、燃料配管継手部の嵌合が不十分なものがある。そのため、燃料が滲み、最悪の場合、当該継手部が外れて燃料が漏れ、エンストし、再始動できなくなるおそれがある。"
"102","シフトケーブルを変速レバーに接続する取付けナットの締付けが不十分なため、トルクが不足しているものがある。そのため、そのままの状態で使用を続けると、当該ナットが緩み、最悪の場合、シフトケーブルが外れシフト操作ができなくなるおそれがある。"
"103","リヤプロペラシャフトとリヤディファレンシャルキャリアを結合しているナットの締付けが不十分なものがあるため、発進等の繰返しにより当該ナットが緩むことがある。そのため、最悪の場合、プロペラシャフトの結合部が外れ、走行ができなくなるおそれがある。"
"104","左後輪用ブレーキパイプの形状が不適切なため、ブレーキパイプ取付け時の変形によりショックアブソーバとの隙間が不足しているものがある。そのため、走行時にブレーキパイプとショックアブソーバが干渉することにより当該ブレーキパイプが損傷し、最悪の場合、ブレーキ液が漏れ制動力が低下するおそれがある。"
"105","室内配線の固定方法が不適切なため、クラッチペダルの操作によりペダル上部と当該配線が干渉し、損傷することがある。そのため、最悪の場合、当該配線がショートし、ヒューズが切れ、前照灯などの灯火器類が不灯またはオーバーヒートとなるおそれがある。"
"106","エンジンルーム内集合配線の配線経路が不適切なため、サイドフレームのエッジ部と干渉し配線の被覆が損傷する場合がある。そのため、そのままの状態で使用を続けると、最悪の場合、配線がショートし、ヒューズが切れ、エンジン始動不能、速度計指示不良、後退灯不灯等となるおそれがあり、また一部配線がショートした場合は、火災となるおそれがある。"
"107","エンジンルーム内の車速センサ用配線およびアイドル回転数制御装置用配線の固定方法が不適切なものがあり、走行中のエンジンの挙動により配線が引っ張られる。そのため、最悪の場合、配線が断線し、速度計指示不良またはアイドル不調となるおそれがある。車室内の電気配線とグローブボックス取付けブラケットの隙間が狭いものがあり、走行中の振動で配線と当該ブラケット端末が干渉し、配線の被覆が損傷する場合がある。そのため、最悪の場合、配線がショートし、ヒューズが切れ、エンジン始動不能またはワイパー作動不良となるおそれがある。"
"108","燃料配管のガス漏れ点検の作業方法が不適切なため、遮断弁結合部のオーリングのシール面を損傷させたものがある。そのため、そのままの状態で使用を続けると、当該部のシール性が低下し、最悪の場合、燃料が漏れるおそれがある。"
"109","ブレーキホースの固定構造が不適切なため、整備作業等によりブレーキホースの交換を行った際、誤ってブレーキホースが捩じった状態で取付けられることがある。そのため、ステアリングを最大操舵に操作した場合、ブレーキホースがステアリングストッパと干渉して損傷し、最悪の場合、ブレーキ液が漏れて制動力が低下するおそれがある。"
"110","ABSモジュレータのプレッシャリダクションバルブを留めているプレートの強度が不足しているため、頻繁にABSモジュレータが作動した場合、当該プレートが変形するものがある。そのため、ブレーキ液が漏れてブレーキの油圧が保持できなくなり、制動力が低下するおそれがある。緩衝装置のアンチロールシステムにおいて、油圧ポンプに高圧油圧配管を取付けるためのバンジョボルトの締め付けトルクが不十分なため、走行中の振動等により当該バンジョボルトが緩むものがある。そのため、作動油が漏れ、最悪の場合、火災に至るおそれがある。スロットルボディの加工が不適切なため、内部に取り付けられたスロットルバルブが円滑に作動しないものがある。そのため、最悪の場合、アクセルペダルを離しても、エンジンの回転が下がらなくなるおそれがある。"
"111","制動装置のマスターシリンダーにおいて、リザーバータンク間のホースを接続するコネクタの強度が不適切なため、そのままの状態で使用を続けると、当該コネクタに亀裂が発生し、最悪の場合、ブレーキ液が漏れて制動力が低下するおそれがある。"
"112","パワーステアリングポンプに接続するパワーステアリングホースのコネクタの構造が不適切なため、エンジン又は走行時の振動により、当該コネクタが損傷するものがある。そのためパワーステアリングオイルが漏れ、ハンドルの操作力が増大し、最悪の場合当該オイルが排気管に飛散し火災に至るおそれがある。"
"113","リレーエマージェンシバルブ部のチェックバルブ形状が不適切なため、バルブが固着し、作動不良になることがある。そのため、トラクタ側からの圧縮空気の供給が遮断され、駐車ブレーキが掛かり、最悪の場合、ブレーキが過熱して火災に至るおそれがある。"
"114","圧縮天然ガス自動車（ＣＮＧ車）において、燃料を供給する高圧レギュレータのプラグの締付力が不足しているため、エンジンの始動時に発生するガス圧の衝撃により、当該プラグが緩むものがある。そのため、そのまま使用を続けると、プラグに取付けられているオーリングが損傷し、燃料が漏れるおそれがある。"
"115","電子制御式油圧ブレーキのコントロールユニットのプログラムが不適切なため、ブレーキ操作を頻繁に行うと、ポンプ・モータを適切に制御できなくなり、ブレーキ液の圧力が不安定になることがある。そのため、ブレーキ液の圧力のセンサーが圧力の異常を感知して、緊急対応用の機能が作動し、警告灯の点灯、及び、警告メッセージがメータパネル内に表示されるとともに、通常の踏力ではブレーキの効きが悪くなるおそれがある。電子制御式油圧ブレーキのコントロールユニットのプログラムが不十分なため、ポンプ・モータの性能の低下を検知することができず、ブレーキ液の圧力が不安定になることがある。そのため、ブレーキ液の圧力のセンサーが圧力の異常を感知して、緊急対応用の機能が作動し、警告灯の点灯、及び、警告メッセージがメータパネル内に表示されるとともに、通常の踏力ではブレーキの効きが悪くなるおそれがある。"
"116","ブレーキ･ハイドロリック・ユニット（ブレーキ液圧発生装置）のサクション・ダンパ（ブレーキペダル操作時のブレーキ液圧力変化による脈動がブレーキペダルに振動として伝わるのを防ぐためのもの）のラバーキャップの耐久性が不十分なため、当該ラバーキャップの表面に亀裂が発生するものがある。そのため、サクション・ダンパからブレーキ液が漏れ、警告灯の点灯、及び、警告メッセージがメータパネル内に表示されて、最悪の場合、制動力が低下するおそれがある。"
"117","自動変速機のロックアップ機構作動時に２速ギヤの潤滑が不足しているため、５速ロックアップ作動状態を持続して走行できる道路環境の場合、２速ギヤへの潤滑不足から当該ギヤの歯面が異常発熱し、ギヤの硬度が低下するものがある。そのため、そのまま使用を続けると、当該ギヤが破損し、最悪の場合、破損したギヤが他のギヤに噛みこみ走行不能となるおそれがある。燃料タンク内に取り付けている燃料ポンプのレギュレータバルブのキャップ組み付け構造が不適切なため、ガソリンの浸漬により当該キャップが膨潤し、キャップとケース組み付け部の噛み合わせが緩くなるものがある。そのため、縁石等を乗り越した衝撃が燃料タンクに加わると、当該キャップが外れ、レギュレータバルブが脱落して燃料が供給されなくなり、エンジンが停止して再始動できなくなるおそれがある。"
"118","メインスタンドを取付けるブラケットにおいて、当該スタンドを締付けるナットとブラケットの溶接部に隙間があるため、当該スタンドの操作を繰り返すと、ナットの溶接部が剥がれるものがある。そのため、そのまま使用を続けると、走行時の振動等により、スタンドの締付けボルトが弛んで抜け落ち、当該スタンドがブラケットから外れてタイヤと干渉し、タイヤを損傷するおそれがある。または、外れたスタンドが他の交通の安全を妨げるおそれがある。"
"119","自動変速機のロックアップ機構作動時に２速ギヤの潤滑が不足しているため、５速ロックアップ作動状態を持続して走行できる道路環境の場合、２速ギヤへの潤滑不足から当該ギヤの歯面が異常発熱し、ギヤの硬度が低下するものがある。そのため、そのまま使用を続けると、当該ギヤが破損し、最悪の場合、破損したギヤが他のギヤに噛みこみ走行不能となるおそれがある。"
"120","自動変速機のロックアップ機構作動時に２速ギヤの潤滑が不足しているため、５速ロックアップ作動状態を持続して走行できる道路環境の場合、２速ギヤへの潤滑不足から当該ギヤの歯面が異常発熱し、ギヤの硬度が低下するものがある。そのため、そのまま使用を続けると、当該ギヤが破損し、最悪の場合、破損したギヤが他のギヤに噛みこみ走行不能となるおそれがある。"
"121","ライニング隙間調整板等を固定しているセルフカッティングスクリュの熱処理が不適切なため、当該スクリュの強度が不足しているものがあり、そのまま使用を続けると、当該スクリュの頭部が折損することがある。そのため、ライニング隙間調整板が脱落するとともに、ブレーキドラムとブレーキライニングの隙間を自動的に調整することができなくなるおそれがある。"
"122","ライニング隙間調整板等を固定しているセルフカッティングスクリュの熱処理が不適切なため、当該スクリュの強度が不足しているものがあり、そのまま使用を続けると、当該スクリュの頭部が折損することがある。そのため、ライニング隙間調整板が脱落するとともに、ブレーキドラムとブレーキライニングの隙間を自動的に調整することができなくなるおそれがある。"
"123","ライニング隙間調整板等を固定しているセルフカッティングスクリュの熱処理が不適切なため、当該スクリュの強度が不足しているものがあり、そのまま使用を続けると、当該スクリュの頭部が折損することがある。そのため、ライニング隙間調整板が脱落するとともに、ブレーキドラムとブレーキライニングの隙間を自動的に調整することができなくなるおそれがある。"
"124","フロントアクスルの外側ベアリングにおいて、インナー側のベアリングに仕様が異なるものを組み付けたものがある。そのため、整備作業等の際に異物が混入した状態で使用を続けると、ベアリングが損傷し、最悪の場合、ブレーキが加熱して発火するおそれがある。"
"125","テールゲートストッパ取付け部の強度が不足しているため、テールゲート全開時に発生する衝撃により、当該取付け部に亀裂が入ることがある。そのため、テールゲートの開閉を繰り返し行うと、亀裂が進行し、最悪の場合、当該取付け部が破損しストッパが外れ、テールゲート全開端からテールゲートが降下するおそれがある。"
"126","後部座席のシートベルトバックルをステ－に取り付けているリベットのかしめが不十分なため、リベットが抜け出してシートベルトバックルが外れ、乗員を拘束できなくなるおそれがある。"
"127","エンジンオイルクーラーホースの組付作業が不適切なため、当該ホースとけん引フックとの隙間が不十分なものがある。そのため、急発進等のエンジンの挙動により、当該ホースとけん引フックが干渉し、そのままの状態で使用を続けると、当該ホースが損傷し、エンジンオイルが漏れ、最悪の場合、エンジンが焼きつくおそれがある。"
"128","メインマフラー前側の排気管の肉厚が薄いため、また当該排気管を支持する金具の溶接位置が不適切なため、走行中の振動に対する排気管の強度が不足しており、亀裂が入ることがある。そのため、そのままの状態で使用を続けると、排気管が折損し、騒音が増大するおそれがある。"
"129","自動変速機の内部にある4速においてのみ作動するクラッチの油圧を保持しているゴム製オイルシールの強度に余裕がないものがあるため、このままの状態で使用を続けると、当該オイルシールに亀裂が発生し、油圧が低下することによりクラッチが滑る場合があり、アクセルペダルを踏んでも加速できなくなる。"
"130","駐車ブレーキペダルの作動位置を保持するための構成部品であるラチェットポールの穴加工が不適切なため、穴径が小さいものがある。そのため、ラチェットポール回転時の摺動抵抗が増大し、最悪の場合、駐車ブレーキペダルを踏んでも駐車ブレーキが作動しなくなるおそれがある。"
"131","前部霧灯を装着した車両において、前照灯用回路が不適切なため、灯火器類をすべて点灯させると電流がヒュージブルリンクの容量を超えることがある。そのため、当該ヒュージブルリンクが溶断し、前照灯および尾灯などの灯火器類が不灯となるおそれがある。"
"132","ウォーターポンプにおいて、タイミングベルト用アイドラプーリ取付け部の肉厚が薄いため、強度が不足している。そのため、そのままの状態で使用を続けると、最悪の場合、取付け部が破損し、当該プーリが脱落し、タイミングベルトが外れバルブタイミングがずれ、原動機が損傷するおそれがある。"
"133","燃料タンク内部のリザーバーカップの溶接作業が不適切なため、当該カップを前後逆に溶接したものがある。そのため、燃料残量が少ない時の上り坂走行時や発進加速時等に燃料供給量が不足しエンジン不調となり、最悪の場合、走行中エンストするおそれがある。"
"134","鞍型燃料タンク内の左右燃料切り替えバルブの構造が不適切なため、燃料残量が１／４以下での走行時、当該バルブが車体振動により共振し、シール不良となる場合がある。そのため、燃料系統にエアが混入しエンジン不調となり、最悪の場合、走行中エンストするおそれがある。"
"135","自動変速機に内蔵された油圧を制御するソレノイドバルブのコイル線のかしめが不適切なため、自動変速機の温度変化による熱膨張収縮の繰り返し応力により、コイル線が断線するものがある。そのため、正常な油圧制御ができなくなり、クラッチの滑りや変速不良が発生し、最悪の場合、走行不能あるいはＮレンジで車両が前進するおそれがある。灯火装置の灯火スイッチにおいて、可動接点部に塗布したグリスの量が多いものがあるため、当該グリスが電線内部に侵入して被覆が硬化することがある。そのため、方向指示器のスイッチ操作を繰り返すと、電線の被覆に亀裂が入り、最悪の場合、芯線が断線して、前照灯、車幅灯、尾灯および計器盤照明灯が点灯しなくなるおそれがある。"
"136","スプリング式駐車ブレーキ装着車において、ブレーキシューを拡張するウェッジロッド先端部のローラに熱処理が不適切なものがある。そのため、当該ローラが早期に破損して、最悪の場合、駐車ブレーキが作動不良となり、駐車制動力が低下するおそれがある。"
"137","圧縮天然ガス自動車において、燃料を供給する高圧レギュレータの密閉プラグ締付け力が不足しているため、エンジン始動時の当該密閉プラグに掛かる圧力変動により、密閉プラグが緩むものがある。そのため、そのまま使用を続けると、密閉プラグに取付けられているオーリングが損傷し、燃料が漏れるおそれがある。"
"138","前２軸車において、リンクロッドの形状が不適切なため、ハンドルを最大限まで切った状態で段差を通過した場合、当該ロッドがタイヤと接触することがある。そのため、そのままの状態で使用を続けると、最悪の場合、ロッドが折損し、確実な操舵ができなくなるおそれがある。ブレーキパイプの形状が不適切なため、ハンドルを最大限まで切った状態で段差を通過した場合、当該パイプがタイヤと接触することがある。そのため、そのままの状態で使用を続けると、当該パイプが損傷し、最悪の場合、パイプが破損し、エアが漏れて制動力が低下するおそれがある。"
"139","後軸リーフスプリングの取付金具を組付けているフレームの強度が不足しているため、当該取付金具を組付けているフレームの穴部に亀裂が発生することがある。そのため、そのまま使用を続けると、亀裂が進行して、走行安定性が損われるおそれがある。"
"140","後２軸車において、後々軸のスプリング式駐車ブレーキチャンバー取付金具(ブラケット)の強度が不足しているため、走行中の振動等により当該ブラケットに亀裂が発生するものがある。そのため、そのままの状態で使用を続けると、当該ブラケットが破損し駐車ブレーキ能力が低下して、最悪の場合、チャンバーが脱落し、当該後々輪の駐車ブレーキが作動不能になる、又は、エアホースが損傷してエア漏れを生じるおそれがある。"
"141","スプリング式駐車ブレーキ装着車において、チャンバー本体とホイールシリンダとの接続部のシール材の塗布が不適切なため、チャンバー及びホイールシリンダ内に水が浸入することがある。そのため、そのままの状態で使用を続けると、ホイールシリンダ内部及びウェッジが錆びついて破損し、あるいは、冬期に凍結し、駐車ブレーキが作動不良となるおそれがある。"
"142","手動変速機付車において、シフトケーブルの取付ブラケットの強度が不足しているため、過度な操作力でシフト操作を繰り返すと、当該ブラケットに亀裂が発生するものがある。そのため、そのまま使用を続けると、当該ブラケットが破損してシフト操作が出来なくなり、走行不能となるおそれがある。手動変速機付車において、前後進用シフトケーブルの長さが不適切なため、当該ケーブルの一部に大きな曲げが加わり、シフト操作を繰り返すと、ケーブルが折損することがある。そのため、シフト操作が出来なくなり、走行不能となるおそれがある。"
"143","キースイッチの防水性が不適切なため、キースイッチ内部の主電源接点と始動（スタータ）電源接点間に水が浸水し、リーク電流が生じることがある。そのため、スタータモータが回転し続け、最悪の場合、スタータモータが加熱し焼損するおそれがある。キースイッチの取り付けねじ部の締め付けが不適切なため、キースイッチが緩んで脱落するものがある。そのため、当該キースイッチの主電源端子部が短絡してワイヤーハーネスが焼損し、最悪の場合、走行時にエンジン停止し、再始動不能となるおそれがある。"
"144","手動変速機付車において、シフトケーブルの取付ブラケットの強度が不足しているため、過度な操作力でシフト操作を繰り返すと、当該ブラケットに亀裂が発生するものがある。そのため、そのまま使用を続けると、当該ブラケットが破損してシフト操作が出来なくなり、走行不能となるおそれがある。"
"145","右ハンドル車のパワーステアリングの油圧ホースと触媒装置の遮熱板との隙間が不適切なため、当該ホースと当該遮熱板が接触しているものがあり、触媒装置からの熱により、パワーステアリングの油圧ホースが損傷することがある。そのため、パワーステアリングオイルが漏れて、ハンドルの操作力が増大し、最悪の場合、漏れたオイルが排気管に飛散し、火災に至るおそれがある。"
"146","燃料パイプとデリバリーパイプを接続しているコネクターの組付けが不適切なものがあり、また、当該コネクターに抜け防止のクリップが取付けられていないため、エンジンの振動等により、燃料パイプが抜けるものがある。そのため、そのまま使用を続けると、燃料パイプから燃料が漏れ、燃料が供給されなくなり、エンストして再始動できなくなるおそれがある。"
"147","燃料ホース接合（クイックカプラー）部での脱着を制限するクリップが装着されていないため、激しい前面衝突等の事故発生時、当該部位の接合が外れ、少量の燃料が漏れ、漏れた燃料へ着火するおそれがある。"
"148","運転者席のエアバッグ装置において、コントロールユニット内部の衝撃波センサに半田不良のものがあるため、半田部にクラックが入りエアバッグ警告灯が点灯することがある。そのため、そのままの状態でホーンを非常に強く叩く又は深いくぼみを通過するなどの衝撃が加わった場合に、エアバッグが展開するおそれがある。"
"149","ブレーキペダルの踏力を倍力するハイドロリックブースタの増圧シリンダ内のピストンにおいて、ピストンカップ溝の加工が不適切なため、ピストンカップとピストンとの気密保持が不十分なものがある。そのため、ブレーキペダルを繰り返し使用した場合に発生する負圧で、ピストンカップとピストン間より空気が吸い込まれ、ブレーキ液に混入し、最悪の場合、制動力が低下するおそれがある。"
"150","エンジンルームのボンネット後部と防水用シールゴムに隙間があるため、頻繁な洗車等で発電機やエンジン上面に水がかかり、発電機内の回転センサコネクタやエンジン点火プラグの電極部に浸入するものがある。そのため、エンジン警告灯が点灯しフェールセーフのモータ走行となったり、点火プラグが失火してエンジン不調となり、排出ガス基準を満足できなくなるおそれがある。"
"151","原動機制御コンピュータのプログラムが不適切なため、外気温変化の大きな気象条件下で、Ｏ２センサのセラミック部に付着した水分が、当該センサヒーターの作動時に熱負荷を与え、当該センサのセラミック部にヘアクラックが発生する。そのため、当該センサが、誤った空燃比信号を発信し、空燃比が濃くなり イグニッション失火状態が発生して、最悪の場合、異常な排気ガスを発生するおそれがある。"
"152","窓ふき器のワイパーモジュールのケース形状が不適切なため、当該ケースの空気穴より水が浸入することがある。そのため、そのまま使用を続けると、ワイパーモジュール内部の基板が腐食または短絡して、当該窓ふき器が誤作動または作動しなくなるおそれがある。"
"153","窓ふき器のワイパーモジュールのケース形状が不適切なため、当該ケースの空気穴より水が浸入することがある。そのため、そのまま使用を続けると、ワイパーモジュール内部の基板が腐食または短絡して、当該窓ふき器が誤作動または作動しなくなるおそれがある。"
"154","運転席及び助手席の座席ベルト巻取り装置に組込まれているセンサーに不適切なものがあるため、急減速時に座席ベルトがロックしないことがある。そのため、急減速時に乗員を拘束できなくなるおそれがある。"
"155","エンジンマウントブラケットのプレス成型が不適切なため、ブラケットに微細な亀裂が発生したものがあり、エンジンからの振動等により亀裂が進行することがある。そのために、そのまま使用を続けると、ブラケットが破損し、最悪の場合、エンジンが傾き、ファンとラジエータが干渉して破損し、走行できなくなるおそれがある。"
"156","燃料装置において、燃料タンク上部の樹脂製燃料ポンプ取り付けナットの熱処理が不適切なものがあるため、温度変化の繰り返しにより当該ナットに亀裂が生じ、燃料が漏れるおそれがある。"
"157","キャブレターの燃料流入量調整作業が不適切なため、サイドスタンドをかけ駐車する等、キャブレターが左側に傾くと、キャブレター内のフロートがキャブレター本体と接触するものがある。そのため、燃料タンクからの燃料流入量を制御できなくなり、キャブレターから燃料が漏れるおそれがある。"
"158","電動ドアミラーからエンジンコントロールユニットへの電気配線の回路が不適切なため、始動時に発生するノイズにより当該ユニット内部のＩＣ　（集積回路）が破損することがある。そのため、酸素センサヒータが制御不能となりエンジン警告灯が点灯する、またはインジェクタが作動不能となりエンジン不調またはエンジン始動不能となるおそれがある。"
"159","車室暖房用ヒータにおいて、ハーネスコネクタの組合せが不適切なため、経年劣化してハーネスコネクタの端子部に酸化物が発生し、発熱するものがある。そのため、そのままの状態で使用を続けると、コネクタが焼損し、最悪の場合、火災に至るおそれがある。"
"160","車室暖房用ヒータにおいて、ハーネスコネクタの組合せが不適切なため、経年劣化してハーネスコネクタの端子部に酸化物が発生し、発熱するものがある。そのため、そのままの状態で使用を続けると、コネクタが焼損し、最悪の場合、火災に至るおそれがある。"
"161","パワーステアリングギヤボックス内部のボール循環筒（サーキュレータ）の構造が不適切なため、過大な操舵入力に対する強度が不足している。そのため、タイヤが縁石に接触している状態でハンドル操作を繰り返すと、当該サーキュレータが破損し、最悪の場合、操舵不能となるおそれがある。"
"162","エンジン用ワイヤハーネスの取り回しが不適切なため、当該ワイヤハーネスとオルタネータ油圧ポンプ用ゴムホースの金属クランプが干渉することがある。そのため、当該ワイヤハーネスの被覆が損傷（素線剥き出し）し、金属クランプとの間でアークが発生して、ゴムホースに付着した油分を含んだダストが発火し、焼損・火災に至るおそれがある。"
"163","燃料噴射装置における燃料噴射時期の設定が不適切なため、登坂等の高負荷運転で燃料噴射時期が遅れ、燃焼不良となる場合がある。そのため、異音が発生し、最悪の場合、出力不足により走行中エンストするおそれがある。"
